year,age,zero,one,two,three,four
1971.0,23,0.7474747474747475,0.16161616161616163,0.0707070707070707,0.020202020202020204,0.0
1972.0,23,0.75,0.16,0.07,0.02,0.0
1973.0,23,0.76,0.15,0.07,0.02,0.0
1974.0,23,0.76,0.15,0.07,0.02,0.0
1974.0,23,0.76,0.15,0.07,0.02,0.0
1975.0,23,0.76,0.15,0.07,0.02,0.0
1976.0,23,0.76,0.15,0.07,0.02,0.0
1977.0,23,0.7575757575757576,0.16161616161616163,0.0707070707070707,0.010101010101010102,0.0
1978.0,23,0.7676767676767676,0.15151515151515152,0.0707070707070707,0.010101010101010102,0.0
1979.0,23,0.7575757575757576,0.16161616161616163,0.0707070707070707,0.010101010101010102,0.0
1979.0,23,0.7575757575757576,0.16161616161616163,0.0707070707070707,0.010101010101010102,0.0
1980.0,23,0.7575757575757576,0.16161616161616163,0.0707070707070707,0.010101010101010102,0.0
1981.0,23,0.75,0.16,0.07,0.02,0.0
1982.0,23,0.76,0.16,0.07,0.01,0.0
1983.0,23,0.7676767676767676,0.15151515151515152,0.0707070707070707,0.010101010101010102,0.0
1984.0,23,0.7676767676767676,0.15151515151515152,0.0707070707070707,0.010101010101010102,0.0
1984.0,23,0.7676767676767676,0.15151515151515152,0.0707070707070707,0.010101010101010102,0.0
1985.0,23,0.7777777777777778,0.1414141414141414,0.0707070707070707,0.010101010101010102,0.0
1986.0,23,0.7676767676767676,0.15151515151515152,0.0707070707070707,0.010101010101010102,0.0
1987.0,23,0.7676767676767676,0.15151515151515152,0.0707070707070707,0.010101010101010102,0.0
1988.0,23,0.7777777777777778,0.1414141414141414,0.0707070707070707,0.010101010101010102,0.0
1989.0,23,0.7777777777777778,0.1414141414141414,0.0707070707070707,0.010101010101010102,0.0
1989.0,23,0.7777777777777778,0.1414141414141414,0.0707070707070707,0.010101010101010102,0.0
1990.0,23,0.7878787878787878,0.13131313131313133,0.0707070707070707,0.010101010101010102,0.0
1991.0,23,0.8080808080808081,0.12121212121212122,0.06060606060606061,0.010101010101010102,0.0
1992.0,23,0.8181818181818182,0.1111111111111111,0.06060606060606061,0.010101010101010102,0.0
1993.0,23,0.83,0.11,0.05,0.01,0.0
1994.0,23,0.84,0.1,0.05,0.01,0.0
1994.0,23,0.84,0.1,0.05,0.01,0.0
1995.0,23,0.8484848484848485,0.09090909090909091,0.050505050505050504,0.010101010101010102,0.0
1996.0,23,0.85,0.09,0.05,0.01,0.0
1997.0,23,0.86,0.09,0.04,0.01,0.0
1997.0,23,0.86,0.09,0.04,0.01,0.0
1920.0,24,0.6732673267326733,0.2376237623762376,0.06930693069306931,0.019801980198019802,0.0
1921.0,24,0.6534653465346535,0.24752475247524752,0.07920792079207921,0.019801980198019802,0.0
1922.0,24,0.66,0.24,0.08,0.02,0.0
1923.0,24,0.64,0.26,0.08,0.02,0.0
1924.0,24,0.6,0.29,0.09,0.02,0.0
